Row Labels,Count of user_session,Sum of price
belletti,1,113.85
bene,371,6248.25
benebaby,32,3286.72
benq,4,1267.08
berber,4,57.91
bergauf,3,17.9
berger,2,394.02
berghoff,400,32366.14
bergner,189,7736.12
berkley,6,89.44
berkut,80,18643.88
berlingerhaus,19,729.54
bernina,189,151566.84
bertoni,237,15471.82
besafe,4,848.15
bessey,4,103.75
bestlife,5,98.05
bestoy,159,9642.17
bestway,544,103714.16
besty,59,942.74
bethesda,40,1078.1
betsy,69,3088.05
beurer,16,840.02
beyblade,2,51.42
beyerdynamic,30,4233.18
beyonce,3,70.89
beyond,78,1033.14
bfgoodrich,356,43702.09
bfz,5,223.85
bibalina,2,34.5
biema,10,8110.89
biemmedue,2,338.92
bigben,1,59.18
billi,2,16.42
binatone,4,564.22
bioderma,116,1779.83
biolane,3,16.86
biomecanics,45,2675.68
bio-oil,5,68.67
biostar,22,1121.36
biotech,48,2769.72
biovea,5,102.3
birusa,1,122.44
bisou,8,27.53
bissell,18,5952.78
biwec,33,6923.72
bkf,4,1384.64
blackberry,92,29206.41
blackdecker,4,168.2
blackmores,4,117.28
blackvue,46,20925.11
blam,22,4635.37
blanco,22,5176.59
blaupunkt,164,42513.43
blenderbottle,8,184.98
blg,2,3083.74
bloomsbury,1,15.39
bluedio,9,589.37
blueseven,13,688.83
bluesonic,10,671.82
blumarine,5,152.94
blw,1,22.66
bmw,10,1415.5
boccia,283,86499.27
bochetti,25,2975.18
bodysculpture,1,150.58
body-solid,6,3512.04
bohemia,114,34285.36
bohemian,2,180.7
bombbar,11,251.06
bombcat,2,26.36
bomberg,6,7413.32
bompani,3,1239.14
bona,5,440.56
boneco,55,9453.86
bonita,4,35.52
bonvini,2,2162.22
borasco,6,33.48
bork,108,57291.04
bosch,13761,3529939.55
bose,103,41008.88
bosher,111,32491.11
boss,1,267.7
bot,10,44.54
botas,22,1752.42
boto,11,1126.91
boucheron,3,168.42
bouncin,1,41.19
bourjois,90,972.04
bovidix,106,1612.57
boyscout,160,1227.14
bozhi,1,9.27
bq,1394,76765.18
bra,4,409.8
bradex,35,1346.86
brahner,13,1366.78
brateck,76,2376.05
braumauto,2,191.97
braun,2365,248440.23
bravat,15,2152.6
bravis,15,304.07
bravo,172,3076.44
breezeboat,15,1882.8
bresser,34,9403.84
brevi,16,2603.39
bridgestone,1078,128389.23
brita,2,30.84
britop,1,30.89
brizoll,18,480.45
bro,12,743.2
broomer,120,47672
brother,299,73712.51
bruder,242,11571.48
brumer,12,1698.84
brw,4231,1059511.97
bsn,97,4634.47
bts,2852,805294.85
buderus,56,54194.29
bueno,1,41.19
buffalo,3,1398.72
bugaboo,10,6743.5
bugati,28,6749.26
bugatti,21,1466.98
buggy,37,11827.9
bulgari,135,9645.7
bulova,3,2032.47
bumbleride,67,28893.54
burberry,37,2520.8
burgerschuhe,441,43857.84
burton,41,9469.7
bushnell,44,9177.98
bws,6,216.24
bwt,2,33.94
byintek,65,12374.49
byredo,17,4037.17
cablexpert,83,2359.02
cacharel,39,1487.33
cadillac,1,60.95
cafemimi,15,35.14
cailyn,8,244.79
caiman,1,959.1
calgaro,8,11542.12
callida,1,33.41
calligrata,5,277.85
calorie,60,1827.07
calve,35,981.58
calvinklein,1,128.7
calypso,3,131.27
cam,16,4940.17
camelion,1,6.24
cameo,6,1539.72
cameron,8,2891.68
campinggaz,1,257.38
camptown,2,730.82
camshel,1,59.2
candide,10,768.98
candy,849,277019.89
cannondale,41,41830.85
canon,1804,1180406.8
canton,1,366.06
